,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles,College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year
0,Gail Goodrich,1965-66,22.0,['LAL' 'PHO' 'NOJ'],NBA,SG,82.0,,40.0,10.1,21.6,0.495,,,,,,,,6.2,8.2,0.864,1.3,1.9,5.4,7.5,1.6,0.3,2.5,3.3,25.9,0,53.0,12.0,19.0,8.0,2.0,22.0,3.0,['UCLA'],https://www.basketball-reference.com/req/202106291/images/headshots/goodrga01.jpg,5,1,0,10,1965
0,Dick Grubar,1969-70,22.0,['INA'],ABA,,2.0,,4.0,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.0,0.0,0.0,0.5,,,0.0,0.5,2.0,0,4.0,,1.0,,,,,['UNC'],,0,0,0,12,1969
0,Corey Gaines,1988-89,23.0,['NJN' 'PHI' 'DEN' 'NYK'],NBA,SG,32.0,8.0,25.5,2.8,7.0,0.471,0.5,2.1,0.5,2.3,4.9,0.611,0.5,2.2,2.6,0.867,0.4,1.5,1.6,9.1,1.0,0.2,2.3,2.5,8.3,0,18.0,4.0,16.0,3.0,1.0,17.0,,['UCLA' 'LOYOLAMARY'],,0,0,0,15,1988
0,Gene Guarilia,1959-60,22.0,['BOS'],NBA,SF,48.0,,8.8,1.5,3.8,0.404,,,,,,,,0.9,1.4,0.707,,,2.8,0.4,,,,1.2,3.6,0,15.0,9.0,3.0,,,,,['GEORGEWASH'],,0,4,0,8,1959
0,Kevin Gamble,1987-88,22.0,['POR' 'BOS' 'MIA' 'TOT' 'SAC'],NBA,SF,82.0,77.0,33.0,6.7,11.4,0.587,0.9,2.1,0.482,6.7,11.3,0.592,0.587,2.3,2.8,0.885,1.0,2.5,3.5,3.1,1.2,0.5,1.8,2.9,15.6,1,37.0,12.0,10.0,5.0,3.0,32.7,1.0,['IOWA'],,0,0,0,17,1987
0,Marcus Georges-Hunt,2016-17,22.0,['ORL' 'MIN'],NBA,SG,42.0,0.0,9.6,0.5,1.4,0.438,0.2,0.4,0.5,0.4,1.0,0.515,0.479,1.8,2.0,0.9,0.2,1.6,1.8,0.6,0.2,0.0,0.4,1.0,2.8,0,12.0,7.0,2.0,2.0,,11.6,,['GATECH'],https://www.basketball-reference.com/req/202106291/images/headshots/georgma01.jpg,0,0,0,,
0,Aaron Gray,2007-08,23.0,['CHI' 'TOT' 'NOH' 'TOR' 'SAC'],NBA,C,61.0,40.0,16.6,1.7,3.3,0.667,0.0,0.0,0.0,1.7,3.3,0.667,0.667,0.9,1.6,0.857,1.7,4.0,5.7,0.8,0.4,0.5,1.0,2.6,4.3,1,22.0,22.0,5.0,3.0,3.0,23.5,,['PITT'],https://www.basketball-reference.com/req/202106291/images/headshots/grayaa01.jpg,0,0,0,19,2007
0,Donte Grantham,2018-19,23.0,['OKC'],NBA,SF,3.0,0.0,0.7,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,['CLEMSON'],https://www.basketball-reference.com/req/202106291/images/headshots/grantdo01.jpg,0,0,0,,
0,Gary Gray,1967-68,22.0,['CIN'],NBA,SG,44.0,,6.3,1.1,3.0,0.366,,,,,,,,0.2,0.2,0.7,,,0.5,0.6,,,,1.1,2.4,0,14.0,3.0,5.0,,,,,['OKCITY'],,0,0,0,7,1967
0,Greg Graham,1993-94,23.0,['PHI' 'TOT' 'NJN' 'SEA' 'CLE'],NBA,SG,70.0,7.0,16.0,2.1,4.5,0.583,0.9,1.8,0.5,1.8,4.0,0.778,0.641,1.9,2.1,1.0,0.6,1.3,1.9,1.4,0.9,0.1,2.1,2.0,7.0,1,20.0,7.0,6.0,5.0,1.0,17.5,,['INDIANA'],,0,0,0,17,1993
0,Anthony Grundy,2005-06,26.0,['ATL'],NBA,SG,12.0,0.0,9.0,1.6,3.2,0.5,0.4,1.3,0.333,1.2,1.9,0.609,0.566,0.8,1.2,0.643,0.1,1.3,1.4,0.8,0.6,0.0,0.8,1.2,4.3,0,11.0,6.0,2.0,3.0,,6.3,,['NCSTATE'],,0,0,0,,
0,Gene Gallette,1946-47,27.0,['WSC'],BAA,,14.0,,,0.1,0.8,0.091,,,,,,,,0.4,0.6,0.667,,,,0.1,,,,0.9,0.6,0,6.0,,,,,,,,,0,0,0,,
0,Luka Garza,2021-22,23.0,['DET' 'MIN'],NBA,C,32.0,5.0,12.2,2.3,4.6,0.543,0.5,1.5,0.359,1.8,3.1,0.636,0.603,1.5,1.9,0.788,1.8,1.3,3.1,0.6,0.3,0.2,0.6,1.7,6.5,0,25.0,14.0,4.0,2.0,2.0,21.1,,['IOWA'],https://www.basketball-reference.com/req/202106291/images/headshots/garzalu01.jpg,0,0,0,22,2021
0,Paul Gordon,1949-50,22.0,['BLB'],NBA,,4.0,,,0.0,1.5,0.0,,,,,,,,0.8,1.3,0.6,,,,0.8,,,,0.8,0.8,0,2.0,,,,,,,['NOTREDAME'],,0,0,0,,1949
0,Gordan Giriček,1999-00,22.0,['TOT' 'MEM' 'ORL' 'UTA' 'PHI' 'PHO'],Did Not Play (other pro league—Croatia),Did Not Play (other pro league—Croatia),81.0,62.0,35.6,5.3,12.0,0.497,1.4,4.4,0.426,4.6,10.3,0.55,0.557,2.7,3.1,1.0,0.8,4.1,4.8,2.5,1.1,0.2,1.9,2.4,14.3,1,33.0,10.0,8.0,4.0,2.0,22.5,,,https://www.basketball-reference.com/req/202106291/images/headshots/giricgo01.jpg,0,0,0,11,1999
0,AJ Griffin,2022-23,19.0,['ATL'],NBA,SF,72.0,12.0,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,0,24.0,7.0,4.0,3.0,2.0,21.0,,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/griffaj01.jpg,0,0,0,16,2022
0,Eddie Gill,2000-01,22.0,['NJN' 'MEM' 'POR' 'IND' 'TOT' 'SEA' 'MIL'],NBA,PG,73.0,5.0,19.0,2.0,5.1,0.667,0.5,1.6,0.667,1.6,4.0,0.667,0.778,1.3,1.7,1.0,0.3,1.6,1.7,3.0,0.8,0.2,1.5,1.7,5.0,1,21.0,5.0,7.0,3.0,2.0,18.2,,['WEBERST'],https://www.basketball-reference.com/req/202106291/images/headshots/gilled01.jpg,0,0,0,,
0,RaiQuan Gray,2022-23,23.0,['BRK'],NBA,PF,1.0,0.0,35.0,6.0,12.0,0.5,2.0,5.0,0.4,4.0,7.0,0.571,0.583,2.0,2.0,1.0,3.0,6.0,9.0,7.0,0.0,1.0,4.0,5.0,16.0,0,16.0,9.0,7.0,,1.0,13.5,,['FLORIDAST'],,0,0,0,29,2021
